60 2
39 4
171 1
19 14
47 1
91 1
1200 1
11 35
30 9
42 3
55 3
75 1
130 1
349 1
2727 1
8 61
15 20
24 10
32 4
40 4
45 4
52 2
58 2
66 1
86 1
108 1
144 1
195 1
614 1
1946 1
3782 1
4 62
9 69
14 27
17 24
21 10
26 11
31 8
36 1
41 2
44 2
46 2
49 3
53 3
59 2
63 2
69 2
82 1
88 1
101 1
117 1
136 1
159 2
182 1
234 1
506 1
951 1
1637 1
2396 1
3710 1
3 6
6 85
10 58
13 28
16 26
18 12
20 11
23 10
25 5
27 5
34 3
38 4
51 2
54 1
62 1
68 1
72 3
79 1
84 1
89 1
95 1
104 1
115 1
127 1
131 1
143 2
152 1
170 1
173 1
220 1
340 1
504 1
589 1
723 1
1008 1
1864 1
5 85
7 65
12 33
22 8
28 3
35 1
37 4
67 1
81 1
93 1
96 1
106 1
113 2
125 1
156 1
197 1
255 1
491 1
750 1
1104 1
29 3
98 1
100 1
