34 8
16 55
73 2
6 291
22 27
50 5
99 1
3 473
11 112
18 49
29 18
42 6
57 2
83 2
167 1
2 455
4 382
8 202
14 65
17 55
19 31
25 20
32 7
39 8
45 8
52 4
67 3
77 1
90 1
150 1
230 1
5 353
7 226
10 138
12 121
15 73
21 42
24 16
28 20
31 18
33 7
36 12
40 5
44 6
48 9
51 3
55 3
64 2
71 2
74 3
82 3
86 1
98 2
128 2
155 1
177 1
348 1
9 166
13 92
20 33
23 22
26 9
30 9
35 5
37 8
41 3
43 5
46 1
49 2
53 4
61 6
65 6
69 1
72 2
81 1
87 2
93 1
115 1
148 1
159 1
174 1
218 1
303 1
427 1
27 8
38 6
47 3
54 1
58 2
62 1
66 2
68 1
70 1
79 1
89 1
94 1
121 1
135 1
164 1
184 1
224 1
265 1
344 1
400 1
622 1
59 1
63 1
119 1
123 1
133 1
350 1
407 1
60 1
372 1
