23 3
10 26
139 1
5 118
14 9
54 2
453 1
2 1865
7 65
12 24
17 11
38 2
107 1
272 1
1873 1
3 324
6 88
8 40
11 34
13 12
15 14
19 7
31 1
49 1
72 1
119 2
239 1
275 1
1084 1
3000 1
4 191
9 39
16 9
18 12
21 2
26 3
34 1
44 3
52 1
57 1
97 1
111 1
126 2
157 2
265 1
313 1
565 1
1379 1
2734 1
4952 1
20 5
22 5
24 4
28 1
32 1
36 2
42 1
47 2
51 3
53 1
55 2
62 1
81 1
100 1
110 2
118 1
122 1
147 1
180 1
280 1
429 1
525 1
632 1
1556 1
2977 1
3416 1
33 1
39 2
45 2
48 1
56 1
58 1
64 1
77 1
85 1
99 1
104 1
114 1
194 1
469 1
1040 1
1514 1
1664 1
40 2
61 1
63 1
96 1
864 1
