1,1158,7767,9180,23616,36575,37589,41427
2,9188
3,1808,2916,2973,5369,7786,9729,11708,16425,17497,21105,22953,26422,28363,30886,34454,35527,36910,42288,43299,44894
4,36322
5,6711,13938,14779,15880,30142,32217,43453
6,14968
7,10224,16577,17328,19063,25906
8,395,13895,19089,28705,36859
9,20602,30838,36180
10,35641
11,10894,25910,32986
12,30066
13,13048,18253,25302,32057,33630,42350
14,5862,18024,18426
15,4968,5923,14099,14685,14823,16429,16767,17665,23207,32701,37913,41562
16,528,547,784,1661,2954,6050,6235,7374,7540,9018,9436,9762,9792,11501,12673,13640,15252,16345,18475,18905,19122,19748,20259,20464,23313,26254,26291,27039,28144,28339,28355,30655,30997,32393,33340,34473,38754,39557,40771,40859,41113,43737
17,8253,37613
18,2224,9685,12815,18891
19,6073,21853,29872,31899
20,35220
21,507,623,5445,7046,10030,22915,29258,38428,41565
22,36322
23,2831,4394,4748,5048,5270,5337,6793,7468,7681,9436,9510,14994,16349,17891,22944,30063,30078,32469,34636,42734
24,16667,39662
25,16152,30636,33189,33286,41654,44624
26,818,3916,9427,9898,13777,17039,17724,19825,26518,28349,28602,37957,38322,41755,43805
27,5952,17280,27041,34636,40473
28,660,1571,4275,4742,8760,10349,10392,16072,16877,17498,17751,24441,29293,32607,36919,38813,40069,41068,44846
29,330,667,939,966,1087,1156,1304,1605,1905,2032,2052,2203,2209,2395,2546,2662,2775,2821,2956,3047,3134,3154,3336,3351,3634,3648,4358,4504,4536,4861,4883,4888,4939,5228,5253,5342,5514,5626,5643,5761,5932,6003,6025,6118,6166,6203,6245,6448,6596,6599,6642,6747,6751,7029,7184,7338,7410,7601,7667,7784,8068,8130,8257,8328,8557,8571,8808,8825,9263,9862,9944,9989,10135,10189,10460,10766,11289,11318,11456,11649,11728,11764,11840,11945,11962,11984,12161,12211,12534,12598,12682,12765,12921,13003,13207,13358,13580,13742,13916,14208,14321,14404,14429,14510,14577,14601,14845,14996,15051,15314,15417,15459,15828,15962,15970,16038,16130,16201,16431,16638,16658,16744,17054,17112,17215,17307,17616,17694,17724,17866,17910,17987,18083,18116,18214,18392,18557,18726,18742,18793,18817,18982,19136,19355,19376,19390,19543,19552,19585,19727,19852,20344,20506,20745,20843,20894,20900,21044,21085,21139,21442,21651,21707,21712,21769,21894,21895,22040,22110,22235,22260,22593,22874,23114,23116,23133,23176,23776,23938,24029,24089,24149,24345,24399,24510,25109,25174,25564,25682,25852,26060,26142,26256,26291,26515,26531,26556,26786,26793,27042,27178,27254,27306,27403,27432,27500,27535,27591,27621,27661,27722,28041,28069,28102,28243,28248,28265,28315,28388,28597,28695,28811,28874,28897,28907,28968,29037,29227,29239,29245,29362,29425,29436,29549,29565,29568,29695,30204,30389,30391,30412,30413,30614,30703,30797,30850,31133,31146,31159,31320,31539,31621,31795,31832,32159,32323,32364,32409,32522,32689,32719,32720,32743,32825,33000,33081,33116,33348,33444,33452,33533,33631,33647,33991,34135,34313,34352,34687,34744,34833,34879,34950,35083,35323,35349,35390,35442,35519,35521,35740,35775,35970,36166,36200,36201,36418,36509,36609,36732,36789,36812,36867,37122,37622,37965,38056,38133,38459,38494,38737,38796,39142,39210,39370,39400,39415,39602,39685,39825,39968,40133,40283,40308,40312,40370,40472,40617,40796,40830,40915,41082,41236,41365,41392,41564,41680,41845,42009,42280,42289,42377,42642,42657,42752,42790,42832,43021,43162,43207,43325,43332,43566,43605,43659,43873,44053,44275,44597,44752,44814,44843
30,1570,1802,3999,13633,18339,30074,30333,30494,35117
31,9686,17051,17693,21180,22833,28388,29355
32,537,1209,1571,1765,1786,2024,2173,2422,2622,3154,3365,3442,3675,3785,4143,4386,4818,4936,5012,5247,5357,5954,6777,6918,7081,7481,7842,8121,8393,9439,9553,10830,11404,12314,12443,12559,12678,12778,12802,12844,13012,13207,13523,13540,13891,14081,14191,14270,14510,14536,14579,14713,14910,14919,15165,15396,15690,15986,16636,17101,17243,17261,17834,18299,18423,19043,19077,19226,19543,19598,19764,19850,19893,20265,20273,20310,20358,20941,21013,21179,21233,21651,21954,22796,22984,23133,23819,24029,24260,24271,24783,24963,25087,25171,25193,25530,26184,26430,26556,26595,26711,27192,27764,27984,28075,28347,28727,28934,28950,29052,29209,29354,29518,29746,30150,30176,30257,30336,30840,30880,30888,31165,31387,32242,32694,32700,32918,33425,33483,33651,33759,34676,34751,35082,35273,35274,35947,36144,36251,36329,36821,36962,37512,38043,38086,38170,38255,38313,38570,38608,38908,38928,38985,39610,39930,40275,40314,40617,40900,41019,41422,41434,42705,43501,43518,43889,44270,44597
