36 3
11 56
69 3
4 196
18 20
49 2
98 1
2 3510
6 149
16 32
24 14
46 3
55 4
81 1
280 1
3 329
5 167
8 93
14 42
17 28
22 10
31 6
41 3
48 2
51 4
62 3
75 1
94 1
120 1
1016 1
7 121
10 68
12 41
15 37
20 12
23 12
28 8
34 7
38 4
44 4
47 1
50 4
52 3
57 1
66 1
72 3
80 1
90 1
97 1
110 1
202 1
440 1
19412 1
9 86
13 37
19 18
21 13
26 5
29 9
33 3
35 5
37 3
40 5
42 2
45 1
54 1
56 1
59 2
64 1
73 1
77 1
87 1
92 1
95 1
105 1
116 2
296 1
483 1
25 10
27 10
30 1
32 1
39 3
53 2
58 1
60 1
63 1
65 1
82 1
104 1
108 1
114 1
345 1
785 1
61 1
