114 1
40 2
292 1
17 9
54 2
168 1
2071 1
9 29
22 4
45 1
81 1
155 1
272 1
699 1
3864 1
6 28
11 26
19 5
36 1
44 2
51 3
57 1
100 1
124 1
157 2
209 1
285 1
470 1
1473 1
3194 1
5843 1
4 56
8 26
10 21
15 11
18 9
21 2
24 3
39 2
42 1
47 2
53 1
56 1
62 1
85 1
104 1
119 2
126 2
161 1
180 1
268 2
288 1
346 1
575 1
1141 1
1653 1
3628 1
3 49
5 50
7 36
13 11
16 7
20 5
23 2
32 1
38 2
49 1
52 1
55 2
58 1
77 1
122 1
129 1
174 1
239 1
538 1
585 1
918 1
1833 1
3451 1
12 17
14 9
26 3
34 1
48 1
61 1
72 1
491 1
1108 1
1675 1
28 1
33 1
