63 1
15 17
273 1
7 52
24 3
156 1
932 1
5 59
10 33
20 5
44 2
91 1
202 1
439 1
5376 1
4 54
6 57
9 31
12 24
18 8
23 5
37 2
56 1
83 1
118 1
158 1
263 1
403 1
733 1
3746 1
9271 1
3 75
8 32
11 19
13 14
17 14
19 5
21 4
28 2
41 3
50 1
59 1
77 1
87 1
95 1
139 1
172 1
232 1
264 1
308 1
435 1
457 1
1701 1
5248 1
2 58
14 9
16 10
22 8
26 5
31 4
39 2
43 1
49 1
53 3
60 1
66 1
81 1
90 1
94 1
107 1
133 1
149 1
186 1
205 1
307 1
317 1
4767 1
25 3
27 1
29 1
32 1
38 2
45 1
52 2
54 3
76 1
100 1
274 1
30 1
36 1
46 1
