46 2
27 14
139 1
14 39
34 3
84 1
296 1
8 135
19 19
29 9
38 5
63 1
113 1
231 1
654 1
4 254
11 67
17 30
23 7
28 5
31 9
37 5
41 4
57 3
72 2
96 1
135 1
217 2
245 1
496 1
6882 1
3 255
6 196
10 89
12 51
16 32
18 24
21 9
24 14
30 6
33 10
35 4
40 5
43 3
49 3
60 1
66 1
82 2
92 1
102 2
119 1
137 1
209 1
286 1
339 1
593 1
928 1
5 238
7 176
9 128
13 49
15 40
20 18
22 7
25 12
32 5
36 5
39 3
42 1
45 4
48 2
51 2
58 1
62 1
65 1
68 1
81 1
83 1
87 2
93 1
100 1
103 2
117 1
128 1
138 1
323 1
402 1
572 1
859 1
5722 1
26 8
44 3
47 1
54 1
59 2
61 1
67 1
71 1
73 2
86 2
90 1
95 1
111 1
115 1
126 2
298 1
391 1
589 1
52 1
56 2
85 1
94 1
107 1
112 1
