23 11
8 72
37 4
3 756
14 34
28 8
70 3
2 3685
5 158
11 59
18 19
25 6
34 4
55 4
115 1
4 278
7 105
9 58
13 37
17 28
20 16
24 10
27 7
30 6
35 7
44 2
63 2
92 1
329 1
6 112
10 60
12 36
16 34
19 12
21 18
26 5
29 3
32 6
36 4
40 3
49 1
59 1
64 3
80 2
95 1
148 1
437 1
15 25
22 14
31 7
33 5
39 3
41 3
47 3
53 2
56 1
60 2
66 1
77 1
90 1
94 1
98 1
129 1
254 1
348 1
753 1
38 1
43 1
46 3
48 1
51 1
58 2
62 1
65 1
67 1
76 1
78 1
83 1
99 1
122 2
143 1
170 1
311 1
455 1
21157 1
42 1
50 2
82 2
88 1
111 1
126 1
131 1
288 1
440 1
678 1
1046 1
